ID	Longitude	Latitude
1	-99.502767	19.682052
2	-99.100344	19.902178
3	-99.017488	19.938623
4	-99.133656	19.921682
5	-99.140809	19.913786
6	-99.154846	19.912915
7	-99.101913	19.92589
8	-98.979438	19.925612
9	-98.976792	19.924144
10	-99.081996	19.820532
11	-98.786622	19.467007
12	-98.791001	19.349967
13	-99.057555	19.136236
14	-99.350226	19.344176
15	-99.062388	19.723633
16	-99.097217	19.762937
17	-99.088977	19.755812
18	-99.083268	19.740274
19	-98.875043	19.424264
20	-99.055453	19.22906
21	-99.096107	19.210995
22	-99.089212	19.194895
23	-99.094422	19.186444
24	-99.282616	19.397421
25	-99.119824	19.676509
26	-99.090874	19.6912
27	-98.910729	19.39735
28	-99.085861	19.236221
29	-99.09155	19.231477
30	-99.094063	19.221094
31	-99.087766	19.225036
32	-99.27441	19.395085
33	-99.278256	19.402968
34	-99.096041	19.667041
35	-99.096207	19.681502
36	-99.088668	19.684843
37	-98.990273	19.40277
38	-98.985361	19.398193
39	-98.93639	19.400689
40	-98.928695	19.398408
41	-98.923632	19.400257
42	-99.090549	19.255247
43	-99.088972	19.247905
44	-99.089252	19.23989
45	-99.265062	19.386881
46	-99.263653	19.40134
47	-99.266035	19.403889
48	-99.092467	19.660117
49	-99.08753	19.66526
50	-99.092483	19.672244
51	-99.090159	19.678159
52	-99.069937	19.432837
53	-98.996216	19.399497
54	-98.991577	19.396538
55	-98.981298	19.399624
56	-98.9553	19.406954
57	-98.944557	19.399305
58	-98.934908	19.398094
59	-99.071233	19.26594
60	-99.083393	19.2583
61	-99.245029	19.392054
62	-99.252515	19.398613
63	-99.10415	19.609315
64	-99.093036	19.634884
65	-99.090324	19.651561
66	-99.088564	19.65333
67	-99.090332	19.434667
68	-99.092746	19.43075
69	-99.093162	19.421408
70	-99.088772	19.422492
71	-99.026004	19.401017
72	-99.020494	19.399168
73	-99.00199	19.400812
74	-98.976862	19.395447
75	-98.971835	19.400515
76	-98.965699	19.403391
77	-98.962705	19.398978
78	-99.095678	19.302182
79	-99.094575	19.270155
80	-99.087456	19.26236
81	-99.228036	19.398929
82	-99.23396	19.401067
83	-99.083566	19.588582
84	-99.087942	19.613024
85	-99.091092	19.61448
86	-99.094121	19.629175
87	-99.086448	19.631843
88	-99.08995	19.468056
89	-99.089145	19.462632
90	-99.086805	19.448985
91	-99.089711	19.441976
92	-99.089756	19.43764
93	-99.093436	19.413595
94	-99.089315	19.417163
95	-99.089833	19.411797
96	-99.07524	19.40271
97	-99.048814	19.400974
98	-99.046645	19.400036
99	-99.028908	19.401939
100	-99.034255	19.394424
101	-99.02356	19.39814
102	-99.017957	19.395232
103	-99.012399	19.401369
104	-99.004381	19.397952
105	-99.012328	19.397637
106	-99.087326	19.304111
107	-99.091587	19.31088
108	-99.09383	19.317102
109	-99.216579	19.392561
110	-99.214635	19.406828
111	-99.105961	19.564209
112	-99.091902	19.560102
113	-99.092108	19.567302
114	-99.092709	19.569824
115	-99.087933	19.62054
116	-99.092505	19.621294
117	-99.090584	19.624594
118	-99.089212	19.471144
119	-99.090061	19.473214
120	-99.092523	19.465343
121	-99.090006	19.459921
122	-99.091369	19.449672
123	-99.090088	19.447622
124	-99.09057	19.445305
125	-99.092754	19.443231
126	-99.092345	19.411761
127	-99.089445	19.400832
128	-99.08846	19.409516
129	-99.080321	19.400662
130	-99.073644	19.396938
131	-99.064369	19.399671
132	-99.063687	19.402248
133	-99.051663	19.401614
134	-99.053075	19.39702
135	-99.042768	19.395939
136	-99.04346	19.398416
137	-99.039307	19.396781
138	-99.036714	19.398676
139	-99.085429	19.320584
140	-99.090889	19.315265
141	-99.09028	19.317087
142	-99.207246	19.399057
143	-99.0937	19.543987
144	-99.085819	19.540445
145	-99.083662	19.544113
146	-99.089706	19.547107
147	-99.091131	19.55265
148	-99.086782	19.559195
149	-99.089617	19.525996
150	-99.090353	19.519699
151	-99.092418	19.518215
152	-99.087424	19.474369
153	-99.092734	19.480293
154	-99.095848	19.401365
155	-99.09169	19.397089
156	-99.069086	19.399291
157	-99.060328	19.393931
158	-99.055239	19.403832
159	-99.088454	19.331151
160	-99.085045	19.326309
161	-99.086522	19.335054
162	-99.203458	19.396979
163	-99.199518	19.400684
164	-99.090543	19.537764
165	-99.088689	19.53735
166	-99.09436	19.528046
167	-99.094691	19.513692
168	-99.090462	19.484678
169	-99.103847	19.399999
170	-99.115927	19.404356
171	-99.109423	19.403634
172	-99.092332	19.394153
173	-99.09111	19.39255
174	-99.092189	19.386894
175	-99.091367	19.344117
176	-99.191692	19.394884
177	-99.19643	19.39769
178	-99.194176	19.400143
179	-99.189051	19.397128
180	-99.092445	19.509723
181	-99.088539	19.505203
182	-99.089795	19.487089
183	-99.114948	19.399118
184	-99.089448	19.3843
185	-99.079304	19.377221
186	-99.090399	19.349206
187	-99.172297	19.391322
188	-99.181109	19.397792
189	-99.185667	19.400167
190	-99.090879	19.503302
191	-99.091147	19.501132
192	-99.088324	19.491859
193	-99.127587	19.400541
194	-99.119668	19.397611
195	-99.090453	19.378538
196	-99.090199	19.355833
197	-99.088024	19.353079
198	-99.094567	19.361161
199	-99.167167	19.399113
200	-99.172444	19.398895
201	-99.174315	19.392074
202	-99.179353	19.400069
203	-99.091491	19.496981
204	-99.094522	19.496764
205	-99.132712	19.400357
206	-99.127614	19.400109
207	-99.085919	19.366337
208	-99.087894	19.357908
209	-99.162417	19.398902
210	-99.158479	19.401583
211	-99.140967	19.398318
212	-99.157334	19.395354
213	-99.14747	19.397012
214	-99.151879	19.392343
215	-99.1519	19.397456
216	-98.948205	19.393531
217	-99.08945	19.680962
218	-99.09156	19.681451
219	-99.085962	19.736481
220	-99.094221	19.751877
221	-99.334053	19.404313
222	-99.309323	19.402907
223	-99.317448	19.397161
224	-99.09987	19.806565
225	-99.095784	19.790783
226	-99.093818	19.798467
227	-99.088834	19.87211
228	-99.099097	19.869031
229	-99.216498	19.233361
230	-99.325428	19.292383
231	-99.359286	19.364181
232	-99.346475	19.360167
233	-99.35439	19.35631
234	-99.383179	19.387034
235	-99.359521	19.354127
236	-99.375101	19.38745
237	-99.36741	19.388105
238	-99.362215	19.383418
239	-99.363828	19.372794
240	-99.359634	19.374401
241	-99.278729	19.253293
242	-99.296619	19.278752
243	-99.202131	19.261132
244	-99.218968	19.268213
245	-99.225608	19.267314
246	-99.233866	19.26723
247	-99.242212	19.264684
248	-99.247628	19.266324
249	-99.200346	19.271648
250	-99.209319	19.267523
251	-99.222111	19.275938
252	-99.229618	19.269133
253	-99.135417	19.266531
254	-99.147663	19.272769
255	-99.15165	19.268476
256	-99.157095	19.270371
257	-99.1609	19.271274
258	-99.166831	19.261142
259	-99.175376	19.265873
260	-99.184099	19.266069
261	-99.223293	19.280851
262	-99.126303	19.267218
263	-99.12545	19.267962
264	-99.16569	19.271584
265	-99.167386	19.264203
266	-99.169584	19.2725
267	-99.17386	19.267448
268	-99.221058	19.287167
269	-99.229168	19.33822
270	-99.099476	19.274625
271	-99.100714	19.264391
272	-99.119183	19.266865
273	-99.221916	19.293775
274	-99.223312	19.302226
275	-99.224044	19.307283
276	-99.223346	19.310353
277	-99.221801	19.331423
278	-99.216961	19.341303
279	-99.219736	19.346584
280	-99.225457	19.355978
281	-99.228715	19.388469
282	-99.108576	19.268109
283	-99.104424	19.267121
284	-99.113407	19.270889
285	-99.116627	19.272109
286	-99.219489	19.296292
287	-99.220237	19.307203
288	-99.223873	19.316353
289	-99.224189	19.323501
290	-99.216482	19.326771
291	-99.219121	19.351627
292	-99.225921	19.348975
293	-99.218861	19.356025
294	-99.216256	19.36011
295	-99.226406	19.361823
296	-99.220342	19.384168
297	-99.214182	19.386427
298	-99.216971	19.362961
299	-99.214195	19.366466
300	-99.225114	19.364273
301	-99.223563	19.382554
302	-99.220145	19.383457
303	-99.222091	19.384685
304	-99.216384	19.368076
305	-99.222308	19.368218
306	-99.224381	19.371793
307	-99.225053	19.37898
308	-99.221793	19.379783
309	-99.217834	19.372819
310	-99.218325	19.208723
311	-99.222095	19.211975
312	-99.21846	19.216596
313	-99.227468	19.264796
314	-99.286791	19.319124
315	-99.291775	19.320978
316	-99.292828	19.339135
317	-99.291396	19.346467
318	-99.325962	19.330121
319	-99.324409	19.340099
320	-99.289382	19.386682
321	-99.271041	19.336758
322	-99.286817	19.32468
323	-99.286358	19.355036
324	-99.287218	19.358188
325	-99.289836	19.376688
326	-99.285106	19.379078
327	-99.251982	19.332811
328	-99.261397	19.332273
329	-99.286416	19.361857
330	-99.289603	19.374251
331	-99.284885	19.374639
332	-99.239771	19.336887
333	-99.286784	19.369802
334	-99.288162	19.366811
335	-99.329176	19.314512
336	-99.31888	19.356641
337	-99.31939	19.344583
338	-99.310744	19.367613
339	-99.306505	19.362933
340	-99.297179	19.358164
341	-99.294276	19.363836
342	-99.291275	19.365725
343	-99.343738	19.370356
344	-99.338705	19.36263
345	-99.329491	19.35544
346	-99.339664	19.344897
347	-99.302496	19.342838
348	-99.309281	19.346058
349	-99.301704	19.353005
350	-99.304022	19.383381
351	-99.296402	19.371201
352	-99.292437	19.376455
353	-99.246035	19.285014
354	-99.254307	19.294392
355	-99.262631	19.296376
356	-99.267899	19.303143
357	-99.239945	19.296892
358	-99.243619	19.302877
359	-99.256202	19.301013
360	-99.256405	19.304718
361	-99.235552	19.300377
362	-99.255246	19.310154
363	-99.254339	19.328137
364	-99.227768	19.302243
365	-99.2526	19.313749
366	-99.255802	19.324362
367	-99.251672	19.321139
368	-99.272904	19.304962
369	-99.268776	19.315502
370	-99.269305	19.322102
371	-99.268237	19.304619
372	-99.264852	19.317753
373	-99.272881	19.326957
374	-99.260501	19.314371
375	-99.261034	19.320359
376	-99.263022	19.304098
377	-99.262423	19.325417
378	-99.240041	19.276096
379	-99.246012	19.282181
380	-99.239417	19.271178
381	-99.230417	19.275003
382	-99.23672	19.276142
383	-99.238479	19.28405
384	-99.239172	19.289763
385	-99.233879	19.280498
386	-99.227463	19.28263
387	-99.230998	19.28437
388	-99.240692	19.280696
389	-99.230625	19.279419
390	-99.233022	19.271224
391	-99.22553	19.2714
392	-99.22682	19.279761
393	-99.234776	19.287412
394	-99.231637	19.293923
395	-99.231387	19.288685
396	-99.227836	19.298295
397	-99.225061	19.291228
398	-99.224464	19.28761
399	-99.236491	19.304313
400	-99.237677	19.308835
401	-99.232265	19.314063
402	-99.239868	19.314046
403	-99.24503	19.314665
404	-99.227815	19.315028
405	-99.235328	19.316703
406	-99.249024	19.318608
407	-99.239572	19.322055
408	-99.230422	19.325121
409	-99.245925	19.305693
410	-99.246292	19.313662
411	-99.249345	19.307898
412	-99.25226	19.310878
413	-99.249986	19.305933
414	-99.243263	19.312087
415	-99.247958	19.326451
416	-99.24768	19.328581
417	-99.243789	19.319762
418	-99.243452	19.327749
419	-99.229441	19.303706
420	-99.231914	19.30506
421	-99.227566	19.307613
422	-99.228657	19.309709
423	-99.228371	19.32168
424	-99.272763	19.359151
425	-99.253499	19.338659
426	-99.248567	19.350821
427	-99.253541	19.352116
428	-99.258842	19.35532
429	-99.254831	19.35923
430	-99.256171	19.360473
431	-99.253955	19.366742
432	-99.259135	19.368643
433	-99.256661	19.374698
434	-99.270315	19.372458
435	-99.25072	19.357148
436	-99.255746	19.356365
437	-99.247316	19.366684
438	-99.257593	19.384294
439	-99.258058	19.387004
440	-99.246613	19.363826
441	-99.2424	19.367249
442	-99.236842	19.365415
443	-99.226663	19.366556
444	-99.277153	19.339563
445	-99.270825	19.343738
446	-99.280988	19.383767
447	-99.276764	19.391054
448	-99.280906	19.378036
449	-99.282073	19.392395
450	-99.236011	19.34153
451	-99.239222	19.343346
452	-99.243042	19.347204
453	-99.239833	19.351948
454	-99.240158	19.354069
455	-99.232162	19.349739
456	-99.235734	19.351549
457	-99.236	19.362165
458	-99.239291	19.359023
459	-99.243215	19.357178
460	-99.244124	19.358505
461	-99.24845	19.36055
462	-99.24463	19.36199
463	-99.24068	19.361228
464	-99.225664	19.347645
465	-99.232139	19.357365
466	-99.228643	19.356563
467	-99.231622	19.3627
468	-99.232921	19.354126
469	-99.245487	19.372059
470	-99.245451	19.380537
471	-99.243821	19.384537
472	-99.238316	19.373638
473	-99.240324	19.37904
474	-99.238839	19.382524
475	-99.233337	19.37347
476	-99.232085	19.381305
477	-99.235655	19.380896
478	-99.229656	19.383134
479	-99.226814	19.382365
480	-99.248156	19.375089
481	-99.232958	19.376
482	-99.229717	19.368769
483	-99.231741	19.372335
484	-99.228309	19.377212
485	-99.227582	19.380412
486	-99.224789	19.373398
487	-99.234796	19.368942
488	-99.097951	19.203787
489	-99.106583	19.199749
490	-99.113061	19.196341
491	-99.127432	19.196423
492	-99.133886	19.199095
493	-99.147226	19.190798
494	-99.159152	19.192602
495	-99.155092	19.198211
496	-99.158385	19.207967
497	-99.139504	19.212723
498	-99.156777	19.225176
499	-99.122556	19.196515
500	-99.117366	19.195613
501	-99.143054	19.207346
502	-99.141388	19.197948
503	-99.144299	19.199556
504	-99.152361	19.25501
505	-99.152092	19.233465
506	-99.158603	19.244982
507	-99.173535	19.228593
508	-99.17873	19.233414
509	-99.181319	19.245581
510	-99.187542	19.249637
511	-99.162896	19.235054
512	-99.167905	19.242976
513	-99.187414	19.261216
514	-99.203872	19.231739
515	-99.194183	19.218933
516	-99.208413	19.210258
517	-99.207498	19.21528
518	-99.209083	19.224423
519	-99.199705	19.223643
520	-99.19522	19.226585
521	-99.19388	19.227145
522	-99.199999	19.252761
523	-99.180568	19.229097
524	-99.162054	19.228503
525	-99.166556	19.227009
526	-99.167735	19.252999
527	-99.177792	19.253935
528	-99.162325	19.247841
529	-99.095209	19.235873
530	-99.099093	19.228467
531	-99.101347	19.234299
532	-99.111402	19.234512
533	-99.117707	19.233012
534	-99.12063	19.212168
535	-99.127434	19.216042
536	-99.121148	19.229338
537	-99.125239	19.231428
538	-99.132096	19.231443
539	-99.127416	19.246653
540	-99.142468	19.247305
541	-99.106425	19.239359
542	-99.116221	19.239422
543	-99.119976	19.235805
544	-99.125922	19.238504
545	-99.125349	19.256512
546	-99.119749	19.252168
547	-99.122506	19.261329
548	-99.133423	19.249612
549	-99.13781	19.260056
550	-99.132759	19.245271
551	-99.130933	19.265654
552	-99.125728	19.262507
553	-99.101185	19.215009
554	-99.10749	19.224106
555	-99.113125	19.223859
556	-99.115265	19.228265
557	-99.117047	19.225665
558	-99.095385	19.229883
559	-99.101558	19.220974
560	-99.099173	19.251048
561	-99.097268	19.248873
562	-99.104987	19.246406
563	-99.116604	19.247975
564	-99.106536	19.25885
565	-99.109047	19.255856
566	-99.110783	19.250001
567	-99.105339	19.261772
568	-99.111708	19.243204
569	-99.116131	19.25658
570	-99.119342	19.259161
571	-99.11712	19.260364
572	-99.110655	19.260944
573	-99.120413	19.256607
574	-99.097183	19.243799
575	-99.099651	19.240204
576	-99.097352	19.259618
577	-99.101704	19.256578
578	-99.10116	19.261265
579	-99.094978	19.262927
580	-99.151163	19.285688
581	-99.154849	19.282284
582	-99.154033	19.276511
583	-99.156258	19.28908
584	-99.21507	19.333412
585	-99.151623	19.293406
586	-99.149909	19.303031
587	-99.158807	19.29305
588	-99.21667	19.331161
589	-99.211912	19.331147
590	-99.210131	19.332482
591	-99.152021	19.308508
592	-99.152136	19.306854
593	-99.158155	19.30397
594	-99.184594	19.309299
595	-99.204575	19.334758
596	-99.096568	19.332375
597	-99.112455	19.332021
598	-99.152169	19.312212
599	-99.158919	19.311354
600	-99.175312	19.332088
601	-99.182852	19.335256
602	-99.19594	19.336345
603	-99.096599	19.334598
604	-99.105275	19.332298
605	-99.112666	19.338852
606	-99.119829	19.336462
607	-99.114617	19.332377
608	-99.140394	19.326612
609	-99.152843	19.33002
610	-99.156577	19.3153
611	-99.157078	19.322312
612	-99.165814	19.332123
613	-99.105491	19.337
614	-99.101745	19.335025
615	-99.125806	19.333717
616	-99.138615	19.33245
617	-99.143625	19.333877
618	-99.151916	19.333374
619	-99.157994	19.33689
620	-99.162198	19.333332
621	-99.154049	19.324185
622	-99.161342	19.342906
623	-99.1302	19.333411
624	-99.134624	19.335587
625	-99.159529	19.347103
626	-99.152184	19.351414
627	-99.153849	19.344229
628	-99.15431	19.354295
629	-99.15635	19.357353
630	-99.158279	19.362965
631	-99.155918	19.379788
632	-99.158152	19.380498
633	-99.152579	19.36617
634	-99.149258	19.370248
635	-99.154132	19.379842
636	-99.154258	19.390697
637	-99.190746	19.278364
638	-99.183015	19.270422
639	-99.185672	19.271507
640	-99.187307	19.276212
641	-99.189733	19.282797
642	-99.200059	19.285885
643	-99.186188	19.285253
644	-99.186727	19.295168
645	-99.192205	19.295838
646	-99.201263	19.300505
647	-99.213959	19.296046
648	-99.177318	19.297376
649	-99.181876	19.299215
650	-99.18774	19.299215
651	-99.195496	19.306204
652	-99.16032	19.302623
653	-99.162298	19.297293
654	-99.174277	19.299625
655	-99.176708	19.299883
656	-99.168535	19.300842
657	-99.171811	19.297265
658	-99.193869	19.281781
659	-99.205197	19.277152
660	-99.211026	19.276766
661	-99.219945	19.277534
662	-99.199167	19.28309
663	-99.206039	19.285483
664	-99.212758	19.284047
665	-99.217076	19.284479
666	-99.213915	19.274158
667	-99.216959	19.274855
668	-99.21677	19.27993
669	-99.212945	19.288426
670	-99.215522	19.293055
671	-99.199425	19.277935
672	-99.192522	19.270777
673	-99.211143	19.308461
674	-99.214385	19.317556
675	-99.198976	19.321035
676	-99.203956	19.309362
677	-99.207314	19.325233
678	-99.218406	19.330598
679	-99.177719	19.276255
680	-99.160788	19.281471
681	-99.170277	19.27717
682	-99.174874	19.271697
683	-99.172796	19.277581
684	-99.171219	19.281155
685	-99.177475	19.281544
686	-99.1806	19.284559
687	-99.168554	19.289582
688	-99.1605	19.285999
689	-99.168375	19.285964
690	-99.169834	19.284743
691	-99.171446	19.294642
692	-99.170205	19.296719
693	-99.18336	19.275211
694	-99.183165	19.289032
695	-99.181286	19.292127
696	-99.17848	19.292846
697	-99.182152	19.295266
698	-99.17688	19.289284
699	-99.159406	19.274235
700	-99.163204	19.271896
701	-99.161708	19.277108
702	-99.164913	19.277652
703	-99.171072	19.279193
704	-99.162973	19.29507
705	-99.166729	19.295916
706	-99.173867	19.302891
707	-99.161936	19.317283
708	-99.165099	19.312667
